Gene,T-stat,p-value,p-adj,-log10(p),-log10(p-adj),log2FC,Gene_clean,query,symbol
ENSG00000233674.2,-2.267847939867319,0.0330435526726618,,1.4809132657346025,,-1.0688118744292527,ENSG00000233674,ENSG00000233674,
ENSG00000237961.4,-2.267789246725417,0.0330476650924358,,1.4808592191826455,,-1.10784964833776,ENSG00000237961,ENSG00000237961,
ENSG00000274515.1,-2.2675958919539885,0.0330612160761421,,1.480681176008222,,-1.0883343780292765,ENSG00000274515,ENSG00000274515,
ENSG00000185390.2,-2.2673919844458856,0.0330755121231977,,1.4804934227094118,,-1.7008220377103065,ENSG00000185390,ENSG00000185390,FGF7P2
ENSG00000121570.12,-2.267038941142745,0.033100277480526,,1.480168365506572,,-1.017368754548149,ENSG00000121570,ENSG00000121570,DPPA4
ENSG00000230318.2,-2.266648010361287,0.03312772030812,,1.4798084491668968,,-1.1219781935265891,ENSG00000230318,ENSG00000230318,XRCC6P3
ENSG00000180035.11,-2.266614656330869,0.033130062677748,,1.4797777424888718,,-1.4464339355837526,ENSG00000180035,ENSG00000180035,ZNF48
ENSG00000225236.1,-2.266497176735513,0.0331383141771424,,1.4796695889217244,,-1.4092868544143011,ENSG00000225236,ENSG00000225236,
ENSG00000176472.10,-2.2659123362245905,0.033179419940864,,1.479131210797613,,-1.0695059079236595,ENSG00000176472,ENSG00000176472,ZNF575
ENSG00000214369.2,-2.264841166721573,0.03325482814112,,1.4781452922308551,,-1.0605253532661514,ENSG00000214369,ENSG00000214369,CYB5AP2
ENSG00000233010.1,-2.264751013190065,0.0332611818949595,,1.4780623227250544,,-1.2501910653984158,ENSG00000233010,ENSG00000233010,RPEP4
ENSG00000233007.1,-2.264700006590462,0.0332647771793014,,1.4780153812852377,,-1.097822681336562,ENSG00000233007,ENSG00000233007,UBTFL11
ENSG00000251557.2,-2.262840432006762,0.0333960945654392,,1.4763043178545792,,-1.3436733053828296,ENSG00000251557,ENSG00000251557,
ENSG00000205667.2,-2.2628132256754405,0.0333980192952459,,1.4762792887169467,,-1.133621959671072,ENSG00000205667,ENSG00000205667,ARSH
ENSG00000269570.2,-2.262610935057777,0.0334123336499368,,1.4760931904529695,,-1.2068674629623897,ENSG00000269570,ENSG00000269570,
ENSG00000261418.1,-2.262436254536488,0.0334246987772694,,1.475932497901705,,-1.2658750906712777,ENSG00000261418,ENSG00000261418,HERC2P6
ENSG00000204398.5,-2.262323280551745,0.0334326980992935,,1.475828573381968,,-1.028682422760659,ENSG00000204398,ENSG00000204398,
ENSG00000183801.7,-2.2616570776620653,0.0334799052700905,,1.475215779494045,,-1.162160956078046,ENSG00000183801,ENSG00000183801,OLFML1
ENSG00000258763.5,-2.261094590762175,0.0335198104225136,,1.474698446267568,,-1.563648604087274,ENSG00000258763,ENSG00000258763,LOC124902940
ENSG00000249563.1,-2.2598417514057294,0.0336088479116091,,1.4735463745940889,,-1.389597871857325,ENSG00000249563,ENSG00000249563,EVA1CP1
ENSG00000134443.9,-2.2592497373199785,0.0336509964526002,,1.4730020711886374,,-1.7354520008991856,ENSG00000134443,ENSG00000134443,GRP
ENSG00000164500.6,-2.2587498192518445,0.0336866257121847,,1.4725424888102177,,-1.014609610353788,ENSG00000164500,ENSG00000164500,SPMIP7
ENSG00000227264.3,-2.258593949363961,0.0336977416186025,,1.4723992040379874,,-1.439832292652837,ENSG00000227264,ENSG00000227264,ACTR3BP5
ENSG00000128040.10,-2.258117468578626,0.0337317427155449,,1.471961220856651,,-1.6489274997844543,ENSG00000128040,ENSG00000128040,SPINK2
ENSG00000258603.3,-2.257410554188833,0.0337822448794635,,1.4713114943040928,,-1.5734403340476903,ENSG00000258603,ENSG00000258603,
ENSG00000171819.4,-2.2570091153894887,0.0338109544436776,,1.470942569436187,,-1.3063553075830203,ENSG00000171819,ENSG00000171819,ANGPTL7
ENSG00000189366.9,-2.2564332048550297,0.0338521804704428,,1.470413352509624,,-1.040539454057341,ENSG00000189366,ENSG00000189366,ALG1L1P
ENSG00000186354.10,-2.2560734923908994,0.0338779533891281,,1.4700828338388354,,-1.0830379767288945,ENSG00000186354,ENSG00000186354,
ENSG00000225671.2,-2.2557179979112774,0.0339034416581826,,1.4697562127913444,,-1.1054608008440638,ENSG00000225671,ENSG00000225671,FCF1P6
ENSG00000180483.6,-2.255338037252885,0.0339307034202513,,1.4694071368663175,,-1.0894528570907605,ENSG00000180483,ENSG00000180483,DEFB119
ENSG00000253893.2,-2.254013209976154,0.0340259146169505,,1.4681901921273874,,-1.4540622553283398,ENSG00000253893,ENSG00000253893,FAM85B
ENSG00000213390.10,-2.253293247603866,0.0340777580698102,,1.4675289846194617,,-1.2519753285694943,ENSG00000213390,ENSG00000213390,ARHGAP19
ENSG00000261711.6,-2.2532929173689302,0.0340777818660522,,1.4675286813549988,,-1.3284126155447014,ENSG00000261711,ENSG00000261711,FRG2DP
ENSG00000275976.4,-2.252672874186247,0.0341224879649947,,1.4669593107379275,,-1.8932873269437125,ENSG00000275976,ENSG00000275976,SPDYE11
ENSG00000241281.1,-2.252240603473178,0.0341536869660984,,1.466562406401181,,-1.389657080236114,ENSG00000241281,ENSG00000241281,RPL31P26
ENSG00000230497.2,-2.252102325516744,0.0341636726170472,,1.4664354485338793,,-1.163577937082009,ENSG00000230497,ENSG00000230497,EEF1B2P8
ENSG00000250215.1,-2.2518089058743644,0.0341848705301168,,1.4661660605836686,,-1.114746511671366,ENSG00000250215,ENSG00000250215,CIR1P2
ENSG00000119608.12,-2.2505616086517657,0.0342751144684856,,1.465021086124193,,-1.117626561871008,ENSG00000119608,ENSG00000119608,PROX2
ENSG00000197540.7,-2.2503079296910045,0.0342934950724915,,1.4647882508621557,,-1.495132151270862,ENSG00000197540,ENSG00000197540,GZMM
ENSG00000170369.3,-2.2496974598375523,0.0343377641708592,,1.4642279863990448,,-1.3868725438691,ENSG00000170369,ENSG00000170369,CST2
ENSG00000182707.4,-2.249285926450067,0.0343676364619507,,1.46385033422379,,-1.6560773380378782,ENSG00000182707,ENSG00000182707,FXYD6P3
ENSG00000233316.3,-2.249262343193771,0.0343693490345884,,1.4638286934479776,,-1.018752285471666,ENSG00000233316,ENSG00000233316,DSCR10
ENSG00000242661.1,-2.2490647652692943,0.0343836998323164,,1.4636473932014469,,-1.622221221430196,ENSG00000242661,ENSG00000242661,RPS3AP43
ENSG00000182601.6,-2.2471055562568605,0.0345262998156033,,1.461849962506958,,-1.5645489315466683,ENSG00000182601,ENSG00000182601,HS3ST4
ENSG00000126062.3,-2.2466959075950697,0.0345561838453838,,1.4614742241329892,,-1.3762734327839814,ENSG00000126062,ENSG00000126062,TMEM115
ENSG00000254749.1,-2.245454483698537,0.034646890053685,,1.460335742095147,,-1.090697816096057,ENSG00000254749,ENSG00000254749,OR5BD1P
ENSG00000128218.7,-2.2449904680832056,0.0346808495445481,,1.4599102725571182,,-1.4627977340490383,ENSG00000128218,ENSG00000128218,VPREB3
ENSG00000137441.7,-2.2449472226849383,0.0346840160491782,,1.459870621489479,,-1.5367211319745842,ENSG00000137441,ENSG00000137441,FGFBP2
ENSG00000270166.1,-2.243995465231987,0.0347537720706506,,1.4589980514893033,,-1.403317154139652,ENSG00000270166,ENSG00000270166,
ENSG00000189269.12,-2.2415968951335365,0.0349301342711505,,1.4567997449347074,,-1.1336706747206764,ENSG00000189269,ENSG00000189269,DRICH1
